text,pages,block_types
"此功能将不发生作用；
在十字路口左转，对向有车辆直行时，或者在十字路口左/右转，人行横道有行人穿越时，通过毫米波雷达和单目摄像头进行识别，并且通过警报器以及多功能信息显示屏告知碰撞的可能性，启动预碰撞制动，辅助驾驶者有效避免碰撞或减轻伤害。
\- 本系统可能因道路情况、车辆情况、天气状况以及驾驶员操作情况等原因无法使用。另外，即使无碰撞的可能性，系统也会存在动作的可能，详细内容请参阅用户手册。
\- 预碰撞安全系统只是驾驶辅助功能，请勿过分依赖本功能，务必履行驾驶员职责。
\- 因检测对象的差异，预碰撞警告、预碰撞制动辅助、预碰撞制动具有不同的运行速域限制，详细内容请参阅用户手册，数据来源于丰田内部测定值。
\- 根据交叉路口的形状差异，可能无法提供正确辅助。
SEA安全下车辅助
检测后方接近的车辆，并在乘客下车时发出警报，帮助避免或减轻碰撞。用户车辆静止时，SEA使用BSM（盲区监视系统）的后侧毫米波雷达检测后方接近车辆（包括自行车），如果检测到接近车辆且系统判断可能会撞到打开的车门或下车的乘客，则车外后视镜上的指示灯将点亮以提醒乘客。即使车门关闭，如果系统判断车门打开后可能发生碰撞，指示灯也会点亮；
如果可能发生碰撞时打开车门，或车门打开时可能发生碰撞，则车外后视镜上的指示灯将闪烁，多信息显示屏上将显示图标，蜂鸣器将鸣响发出提醒。
PKSB泊车辅助制动功能",18,text
"亮以提醒乘客。即使车门关闭，如果系统判断车门打开后可能发生碰撞，指示灯也会点亮；
如果可能发生碰撞时打开车门，或车门打开时可能发生碰撞，则车外后视镜上的指示灯将闪烁，多信息显示屏上将显示图标，蜂鸣器将鸣响发出提醒。
PKSB泊车辅助制动功能
系统通过传感器检测从后面驶来的车辆和静止物体，如果系统检测到有碰撞的危险，则会执行驱动力控制或制动控制，得以避免或减轻碰撞。
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*画面功能或系统仅起驾驶辅助作用，请勿过分依赖，请务必履行驾驶人职责。
智感安全引领 开启智能领航新方式
LCA变道辅助功能
在高速公路和汽车专用车道（部分除外）上行驶时，当智能车道循迹系统【LTA】处于启动状态时，驾驶员通过操作转向灯控制杆发出开始辅助的信号，系统会监测相邻车道车辆，并为变道提供转向辅助。变道完成后，转向指示灯会自动关闭。
LTA智能车道循迹系统
为保持车辆在车道中央行驶，提供部分转向支持。在堵车等情况下，当道路白线（黄线）不好辨认或无法辨认时，追随先行车辆，提供必要的转向支持。Toyota Safety Sense智行安全（丰田规避碰撞辅助套装）在原基础上对智能车道辅助系统进行升级，通过对深度神经网络系统的升级，增加对路沿石、墙壁、防护栏等的识别。
LDA车道偏离警示系统","18,19",text
"辨认时，追随先行车辆，提供必要的转向支持。Toyota Safety Sense智行安全（丰田规避碰撞辅助套装）在原基础上对智能车道辅助系统进行升级，通过对深度神经网络系统的升级，增加对路沿石、墙壁、防护栏等的识别。
LDA车道偏离警示系统
当系统运行时，多功能信息显示屏内的指示灯会闪烁，且系统状态会显示在多功能信息显示屏上。车道偏离警示功能：当系统判断车辆有可能偏离当前车道或道路时其会闪烁多功能信息显示中的指示灯，振动方向盘或鸣响蜂鸣器，以通知驾驶者潜在的车道偏离，并提示驾驶者修正车辆路径。车道偏离预防功能：当系统判断车辆有可能偏离当前车道或道路时，除了启用车道偏离警示功能外，还会施加转向力，以协助驾驶者避免车道偏离。
\- 如果系统判定驾驶者为了躲避障碍物（行人、车辆、自行车骑行者、摩托车等）而越线，则即使车辆已经越线，也会限制启用“车道偏离警示功能”和/或“车道偏离控制功能”。
\- 系统现在可识别电线杆、路沿石、护栏、墙壁、连续的柱状物体等。
\- LDA车道偏离警示系统/LTA智能车道循迹系统并非自动驾驶设备或可减少驾驶者对前方注意的设备，驾驶者应保持注意周边情况，通过转向操作对前进路线进行调整，安全驾驶。请勿双手离开方向盘，转向操作是驾驶者自身责任。
\- 在并未使用DRCC的情况下，车道保持支援功能不可使用，车道偏离警示功能、车道偏离控制功能可以正常使用。",19,text
"前方注意的设备，驾驶者应保持注意周边情况，通过转向操作对前进路线进行调整，安全驾驶。请勿双手离开方向盘，转向操作是驾驶者自身责任。
\- 在并未使用DRCC的情况下，车道保持支援功能不可使用，车道偏离警示功能、车道偏离控制功能可以正常使用。
\- 在以下的情况中，车道保持支援功能、车道偏离警示功能、车道偏离控制功能可能无法正常使用，请驾驶者尽量避免使用{在行驶路侧有可能被误判为车线的物件时（护栏、反光竿等）、在分流或合流区域驾驶时、急转弯时、雨、雪、雾等难以看清车线时}。
\- 例如以下的情况，因无法满足系统的工作条件，车道保持支援功能、车道偏离警示功能、车道偏离控制功能有可能关闭{看不到车道线、检测到驾驶者有追加驾驶操作（转向、刹车、踩油门等操作）等}。在无法清楚辨别行走路线的边界时，或者在非直线的情况下车道偏离警示功能、车道偏离控制功能有可能无法正常使用。
\- 当系统判断驾驶者脱离方向盘驾驶时，车道偏离控制功能将会停止。
\- 为了确认系统功能而故意偏离车线驾驶是非常危险的行为，请勿尝试。
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*画面功能或系统仅起驾驶辅助作用，请勿过分依赖，请务必履行驾驶人职责。
PART 04
智感安全引领 开启智能领航新方式
▶ RSA道路标识识别辅助系统","19,20","page_number,text"
"置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*画面功能或系统仅起驾驶辅助作用，请勿过分依赖，请务必履行驾驶人职责。
PART 04
智感安全引领 开启智能领航新方式
▶ RSA道路标识识别辅助系统
可辅助识别前方已注册的道路标识，并将其显示在仪表上，更可激活通知，以防止驾驶者的违规行为，如超速等；
驾驶者可以启用/停用RSA的设置，以及决定是否与显示屏结合使用。如果车辆出现超速，或忽视“禁止进入”的交通标志，RSA会在仪表上高亮显示或闪烁“显示的交通标志”并发出哗哗声来启用通知，驾驶者可以启用/停用RSA的设置，以及决定是否与哗哗声结合使用。驾驶者在进行加速期间，此功能辅助驾驶者防止超过道路限速。
\- RSA用于辅助驾驶者驾驶。驾驶者对安全驾驶负有主体责任。
\- 如遇挡风玻璃脏污、车辆周围的交通情况恶劣等情况，RSA可能无法识别已注册的交通标志。该情况下，驾驶者需要亲自检查交通标志。
▶AHB远光灯自动控制系统
可自动切换远光灯和近光灯，帮助驾驶者在夜间驾驶时尽快发现其他车辆；减少手动操作的累累，防止驾驶者遗忘操作。
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*画面功能或系统仅起驾驶辅助作用，请勿过分依赖，请务必履行驾驶人职责。
智驾出行引领 开启智能领航新方式","20,21",text
"手动操作的累累，防止驾驶者遗忘操作。
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*画面功能或系统仅起驾驶辅助作用，请勿过分依赖，请务必履行驾驶人职责。
智驾出行引领 开启智能领航新方式
PDA预判式主动驾驶辅助系统
系统发现可检测对象时，主动驾驶辅助会操作制动器和方向盘，以防止车辆过于靠近对象。
当系统检测到前方车辆或相邻车辆加塞时，会在驾驶员松开加速踏板后缓缓减速，以避免车辆之间的距离过近。当判断自车在前方弯道处车速过快时，系统会在驾驶员松开加速踏板后缓缓减速。
\- 可检测对象为行人、车辆、自行车、摩托车等。
\- 障碍物预测辅助功能可以在早期检测障碍物的风险，并在不太接近障碍物的情况下辅助驾驶，以降低风险。
\- 主动驾驶辅助工作后，如果想要保持或加快车速，则需踩下加速踏板。
\- 有关操作方法和使用过程中的注意事项，请参阅说明书，请遵守法定限速。
\- 如需快速减速，例如前方车辆持续减速、车距较近或速度差较大时，驾驶员必须踩下制动踏板。
\- 当车速超过 $20\mathrm{km / h}$ 时，减速辅助功能将被启动。在低速行驶时，该功能不会启动。如车速低于 $15\mathrm{km / h}$ 时，减速辅助功能将会被终止，驾驶员则需踩下制动踏板进行减速。
DRCC动态雷达巡航控制系统（带全速域跟车功能）",21,text
"m{km / h}$ 时，减速辅助功能将被启动。在低速行驶时，该功能不会启动。如车速低于 $15\mathrm{km / h}$ 时，减速辅助功能将会被终止，驾驶员则需踩下制动踏板进行减速。
DRCC动态雷达巡航控制系统（带全速域跟车功能）
通过毫米波雷达和单目摄像头识别前方车辆，保持与车速相对应的跟车距离辅助跟车行驶。当前方车辆停止时自身车辆也会停止，并保持停止状态；当前方车辆起步时，由驾驶者操控起步并再次进行跟车行驶。在高速公路等驾驶场合，减少驾驶者的驾驶负担，此外，弯道速度控制功能在启用动态雷达巡航控制系统行驶过程中，如果系统判定有必要，将在转向开始时进行速度控制，同时显示屏会显示系统正在运行；
利用 RSA（Road Sign Assist）识别限速信息，可将车速快速设定为限速范围内。
\- 跟车距离控制有一定适用范围。请不要过分依赖系统，注重安全驾驶。
\- 请依据道路限速、道路状况、路面环境、天气情况等因素对设定速度进行相应设定。驾驶者需要对设定速度进行确认。本系统可能因为道路状况、车辆状态、天气情况等而出现无法使用的情况。请在高速公路或汽车专用道路上使用。详细内容请参阅用户手册。",21,text
"驶。
\- 请依据道路限速、道路状况、路面环境、天气情况等因素对设定速度进行相应设定。驾驶者需要对设定速度进行确认。本系统可能因为道路状况、车辆状态、天气情况等而出现无法使用的情况。请在高速公路或汽车专用道路上使用。详细内容请参阅用户手册。
\- 当限速标志与驾驶者的设定车速有差异时，多功能信息显示屏上会显示“▲”或“▼”，驾驶者可通过按住“+”或“-”按钮来更新其所设定的速度（限速标志数值高于驾驶者的“设定车速”时显示“▲”，在低于时显示“▼”）。
EDSS紧急驾驶停止系统
此系统在LTA智能车道循迹系统启用期间工作，当检测到驾驶者的状态不佳时，启动警告，如果驾驶者没有恢复驾驶，则在车道内停车，并向相邻车道提供紧急指示。
\- 如果驾驶者在一定时间内未操作方向盘、加速踏板或制动踏板，则系统判断驾驶者状态不佳。
DMC驾驶员状态监测系统
驾驶员状态监测摄像头会监测确认驾驶员周围情况，系统会判断驾驶员状态是否适合驾驶车辆。如系统确定驾驶员状态无法驾驶车辆，则会通过蜂鸣器和显示屏向驾驶员发出提醒警报。
FCTA前方交通穿行警示系统
在进入交叉路口时，该系统可以检测到从左侧或右侧驶来的车辆。如驾驶员在车辆接近时仍试图启动车辆，系统将会通过蜂鸣器和显示屏向驾驶员发出警报提醒。
\- 根据路况、车况和天气条件等情况，可能无法使用该系统。",21,text
"警报。
FCTA前方交通穿行警示系统
在进入交叉路口时，该系统可以检测到从左侧或右侧驶来的车辆。如驾驶员在车辆接近时仍试图启动车辆，系统将会通过蜂鸣器和显示屏向驾驶员发出警报提醒。
\- 根据路况、车况和天气条件等情况，可能无法使用该系统。
\- 前方交通穿行警报［FCTA］只是驾驶辅助功能。请不要过于依赖该功能，驾驶时应由驾驶员自行直接确认周围的安全状况。
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*画面功能或系统仅起驾驶辅助作用，请勿过分依赖，请务必履行驾驶人职责。
全域防护 每个座位都被守护到位
全系标配10SRS空气囊在发生碰撞时帮助减轻对乘客的冲击从而确保碰撞安全性能
① 驾驶席二级式正面SRS空气囊一体式全框高强度车身框架有效抵御前部撞击，在发生碰撞时抑制车厢变形
②副驾驶席二级式正面SRS空气囊
⑥ 前排侧SRS空气囊
⑦ 后排侧SRS空气囊
③驾驶席膝部SRS空气囊
以安全为先设计的车身结构
⑧ 后排侧SRS空气囊
④前排中间SRS空气囊
⑨ 侧窗帘式SRS空气囊
⑤前排侧SRS空气囊
\*SRS空气囊是座椅安全带的辅助装置，应与座椅安全带同时使用，请务必系好安全带⑩ 侧窗帘式SRS空气囊","21,22",text
"SRS空气囊
以安全为先设计的车身结构
⑧ 后排侧SRS空气囊
④前排中间SRS空气囊
⑨ 侧窗帘式SRS空气囊
⑤前排侧SRS空气囊
\*SRS空气囊是座椅安全带的辅助装置，应与座椅安全带同时使用，请务必系好安全带⑩ 侧窗帘式SRS空气囊
\*本页配置并非所有车型配备，详情请参考车型规格配置表。图片仅为广告示意，具体以实车为准。  
\*本页广告车型为：第9代凯美瑞2.5HQ智能电混双擎旗舰版。
PART 04
广汽丰田为开通了丰云悦享且该车型版本具有相应配置的顾客提供5年(按购车发票日计算)的数字钥匙、在线音乐、在线电台、在线视频的服务，并赠送48G的流量包(有效期两年，按购车发票日计算，超出后可自行购买流量加油包或者通过WiFi使用在线服务)。在线音乐和在线电台、在线视频的会员服务或其他相关增值服务由顾客根据需要向应用服务供应商自行购买。受手机兼容性或者通信运营商信号覆盖情况影响，部分手机型号或部分信号覆盖情况欠佳的地域可能无法正常使用丰云悦享服务,详情请咨询当地经销店。除上述所列明功能外，广汽丰田还为顾客不断完善及推出更多新的丰云悦享服务，详情请留意广汽丰田官网或后续通知。注：","22,26","page_number,text"
"兼容性或者通信运营商信号覆盖情况影响，部分手机型号或部分信号覆盖情况欠佳的地域可能无法正常使用丰云悦享服务,详情请咨询当地经销店。除上述所列明功能外，广汽丰田还为顾客不断完善及推出更多新的丰云悦享服务，详情请留意广汽丰田官网或后续通知。注：
1. “●”表示有此配置，“-”表示无此配置，“○”表示可在原厂选装，“○A”表示可在经销店选装。2. 本手册中所展示的车辆细节、颜色、描述和插图等仅供参考，具体以实际车体为准。3. 广汽丰田汽车有限公司保留对上述配置规格的更改权。车辆规划或配置如有变化，恕不另行通知。详情请咨询当地经销店。
※1.数据与中华人民共和国工业和信息化部备案一致。※2.nanoe™为松下电器产业株式会社商标。※3.当选择PKSB泊车辅助制动功能(静止物+车辆+行人)时，只可选BGM倒车影像(带动态引导线)，PVM全景监控系统(高清)以及透明底盘功能不可选择。
※4.通过智能手机互联，可实现对手机互联下的电话、导航、音乐等内容的控制。支持该功能的手机型号请详询当地授权经销店或CarPlay/HUAWEI HiCar/CarLife服务提供商；“可见即可说”是指屏幕可见常用菜单文字，直接说出即可执行。※5.丰云悦享®·智能手机交互功能通过子账号授权的方式实现，除车主外其他家庭成员可经过车主授权后使用丰云悦享®·智能手机交互功能。
先进科技包
- TSS3.0扩展包",26,text
"fe服务提供商；“可见即可说”是指屏幕可见常用菜单文字，直接说出即可执行。※5.丰云悦享®·智能手机交互功能通过子账号授权的方式实现，除车主外其他家庭成员可经过车主授权后使用丰云悦享®·智能手机交互功能。
先进科技包
- TSS3.0扩展包
LCA变道辅助功能 DMC驾驶员状态监测系统FCTA前方交通穿行警示
\- 数字钥匙
\- 面容ID识别系统
\- 透明底盘
\- PVM全景监控系统（高清）
选装包
尊享座椅包
\- 前排座椅加热/通风功能
\- 方向盘电动调节
\- 驾驶席座椅记忆及智能进出功能
\- 外后视镜带位置记忆、迎宾灯功能
\- 智能PM2.5过滤系统（带PM2.5状况显示）
律动氛围包
\- 64色可调羽翼氛围灯
\- IP高级纹路饰板
\- 智能香氛系统（带3种香味）
精品 (外装、内装、电装)
PART 05","26,27","page_number,text"
