text,pages,block_types
"ub>GB39732-2020 的要求进行记</sub>www.caro录，
这些功能未集成在其他系统中，也未记录在其他系统中。
驾驶车辆时
取得驾驶证后方可在道路上驾驶车辆。
遵守各地区法规及指定的交通法规，时刻谨记安全驾驶。
报废丰田车
丰田车中的SRS空气囊和座椅安全带预张紧器装置含有爆炸性化学物质。如果在空气囊和座椅安全带预张紧器未处理的情况下报废车辆，则可能导致起火等意外事故。报废车辆前，请务必联系有资质的维修店或丰田汽车经销商对SRS空气囊系统和座椅安全带预张紧器系统进行拆除和报废处理。
环境保护
使用过的零件和废机油
正确处理使用过的零件和废机油。
处理不当会导致环境污染。此外，报废车辆时，请咨询购买车辆时的经销店。
关爱环境的经济性驾驶
避免不必要的怠速和过度踩下加速踏板，遵守法定限速并时<sub>刻谨记安全驾驶。</sub>ook.com
整车型号
本手册包含下列车型的说明:TV7207X6P
读取车辆识别代号信息
将用于检查和维修的故障诊断设备安装到连接器上，即可读取车辆识别代号信息。
请勿将诊断设备以外的电气部件安装到连接器上。否则可能发生意外情况，如对电子设备造成不良影响或损坏蓄电池。
诊断设备连接器
■ 读取车辆识别代号信息
1 关闭发动机开关。
2 将诊断设备连接到连接器上。
3 将发动机开关切换至ON。
4 打开诊断设备的电源。","8,9",text
"外的电气部件安装到连接器上。否则可能发生意外情况，如对电子设备造成不良影响或损坏蓄电池。
诊断设备连接器
■ 读取车辆识别代号信息
1 关闭发动机开关。
2 将诊断设备连接到连接器上。
3 将发动机开关切换至ON。
4 打开诊断设备的电源。
5 根据诊断设备的“MENU”项读取车辆识别代号。www.carob有关操作诊断设备“MENU”，请查看其随附的用户手册。
■ 购买车辆识别代号信息读取工具
可使用 “GTS Basic” (GlobalTech Stream Basic) 读取车辆识别代号信息。
要购买 “GTS Basic”，请从下面的分销商主页查看零售商和联系方式等所需信息。
此外，浏览主页前需进行注册。
分销商主页
• 一汽丰田汽车销售有限公司:http://www.ftms.com.cn/
“QR Code”
“QR Code” 是 DENSO WAVEINCORPORATED 在日本和其他国家/地区的注册商标。
警告
■驾驶时一般注意事项
清 驾驶 :切勿在饮 或 药驾驶车辆，因为酒精和药物会影响您操控车辆的能力。酒精和某些药物会延迟反应时间，影响判断和协调能力，从而可能引发事故，导致严重伤害甚至死亡。
谨慎驾驶 :务必谨慎驾驶。随时注意其他车辆以及行人的动向以便及时作出判断，防止发生意外事故。",9,text
"或 药驾驶车辆，因为酒精和药物会影响您操控车辆的能力。酒精和某些药物会延迟反应时间，影响判断和协调能力，从而可能引发事故，导致严重伤害甚至死亡。
谨慎驾驶 :务必谨慎驾驶。随时注意其他车辆以及行人的动向以便及时作出判断，防止发生意外事故。
专注驾驶 :驾驶时务必全神贯注。任何分散驾驶员注意力的事情，如调节控制按钮、打电话或阅读都可能引发碰撞事故并导致严重伤害甚至死亡。
■有关儿童安全的一般注意事项切勿将儿童单独留在车内，切勿让儿童携带或使用钥匙。
儿童可能会起动车辆或将车辆换至空档 儿童在玩耍点烟器 车窗、天窗（若装备）、全景天窗（若装备）或其他车辆装备时，还可能会伤到自己。此外，车内温度过高或过低，也可能会对儿童造成致命伤害。
阅读本手册
对本手册中所用的标记进行说明。
本手册中所用的标记
插图中所用的标记
10
如何检索
■ 按照名称检索
● 字母索引：→P.373
■ 按照安装位置检索
● 图片索引:→P.12
■ 按照故障症状或声音检索
发生紧急情况时……（故 障排除）:P.370
■ 按照标题检索
● 目录：→P.2
11
图片索引
车外","9,10,11,12","page_number,text"
"如何检索
■ 按照名称检索
● 字母索引：→P.373
■ 按照安装位置检索
● 图片索引:→P.12
■ 按照故障症状或声音检索
发生紧急情况时……（故 障排除）:P.370
■ 按照标题检索
● 目录：→P.2
11
图片索引
车外
A 侧门 P.88
锁止 / 解锁 P.88
打开 / 关闭侧车窗 P.118
使用机械钥匙锁止 / 解锁 \* P.336
警告信息 P.91
B 背门 P.92
从车内打开 \* P.95
从车外打开 P.94
警告信息 P.317,324
C 外后视镜 P.116
调节后视镜角度 P.116
折叠后视镜 P.116
后视镜除雾 \* P.239,244
D 风挡玻璃刮水器 P.159
冬季注意事项 P.228
12",12,"page_number,text"
"P.95
从车外打开 P.94
警告信息 P.317,324
C 外后视镜 P.116
调节后视镜角度 P.116
折叠后视镜 P.116
后视镜除雾 \* P.239,244
D 风挡玻璃刮水器 P.159
冬季注意事项 P.228
12
E 燃油加注口盖 P.162
加油方法 P.163
燃料种类 / 燃油箱容量 P.351
F 轮胎 P.284
轮胎规格 / 轮胎气压 P.356
冬季轮胎 / 轮胎防滑链 P.228
检查 / 换位 / 轮胎压力警告系统 P.284
轮胎泄气应对措施 P.327
G 发动机盖 P.276
打开 P.276
发动机机油 P.352
过热应对措施 P.342
行驶用车外灯灯泡
更换方法 :P.303, 瓦数 :P.357)
H 前照灯 / 前位灯 / 日间行车灯 / 转向信号灯 P.154
I 前雾灯\* P.158
J 刹车灯 / 后转向信号灯 / 尾灯 P.148,154
K 尾灯\* P.154
倒车灯
将档位换至 R 档 P.145
L 牌照灯 P.154
M 侧转向信号灯 P.148
N 尾灯\*/后雾灯 P.154,158
倒车灯
将档位换至 R 档 P.145
若装备
13
仪表板","13,14","page_number,text"
".148,154
K 尾灯\* P.154
倒车灯
将档位换至 R 档 P.145
L 牌照灯 P.154
M 侧转向信号灯 P.148
N 尾灯\*/后雾灯 P.154,158
倒车灯
将档位换至 R 档 P.145
若装备
13
仪表板
A 发动机开关 P.140,141  
起动发动机/切换位置\*1 P.140  
起动发动机/切换模式\*2 P.141  
紧急停止发动机 P.310  
发动机不能起动时 P.334  
警告信息 P.324  
B 换档杆 P.145  
切换档位 P.145  
拖拽时的注意事项 P.313  
换档杆无法移动时 P.146  
C 仪表 P.73  
仪表的含义/调节仪表照明灯 P.73  
警告灯/指示灯 P.70  
警告灯点亮时 P.317  
D 多信息显示屏 P.76
14",14,"page_number,text"
".145  
拖拽时的注意事项 P.313  
换档杆无法移动时 P.146  
C 仪表 P.73  
仪表的含义/调节仪表照明灯 P.73  
警告灯/指示灯 P.70  
警告灯点亮时 P.317  
D 多信息显示屏 P.76
14
显示屏 P.76  
显示警告信息时 P.76  
E 转向信号灯控制杆 P.148  
前照灯开关 P.154  
前照灯/驻车灯/尾灯/牌照灯/日间行车灯 P.154  
雾灯 P.158  
F 风挡玻璃刮水器和喷洗器开关 P.159,161  
使用方法 P.159,161  
添加喷洗液 P.284  
G 危险告警灯开关 P.310  
H 倾斜伸缩式方向盘锁定释放杆 P.114  
I 发动机盖锁定释放杆 P.276  
J 空调系统 P.234, 238,243  
使用方法 P.234, 238,243  
后车窗除雾器 P.235, 239,244
音响系统 <sup>\*3,</sup> <sup>4</sup>
<sup>\*1</sup>:不带智能进入和起动系统的车辆
<sup>\*2</sup>:带智能进入和起动系统的车辆
<sup>\*3</sup>:带导航系统的车辆，请参见《导航系统用户手册》。
<sup>\*4</sup>:带多媒体系统的车辆，请参见《多媒体用户手册》。
15",15,"page_number,text"
"进入和起动系统的车辆
<sup>\*2</sup>:带智能进入和起动系统的车辆
<sup>\*3</sup>:带导航系统的车辆，请参见《导航系统用户手册》。
<sup>\*4</sup>:带多媒体系统的车辆，请参见《多媒体用户手册》。
15
\*2:带导航系统的车辆，请参见《导航系统用户手册》。
■ 开关
A 前照灯光束高度调节旋钮 P.155  
B 自动远光开关 P.156  
C 摄像机开关\*1,2  
D 电动背门开关\*1 P.92  
E 外后视镜开关 P.116  
F 门锁开关 P.91  
G 电动车窗开关 P.118  
H 车窗锁止开关 P.120
16
<sup>\*1</sup>:若装备
A 仪表控制开关 P.76  
B 巡航控制开关动态雷达巡航控制 P.198巡航控制 P.204  
C 音响遥控开关\*1,2  
D LTA（车道保持辅助）开关 P.180  
E 电话开关\*1,2  
F 通话开关\*1,2
<sup>\*1</sup>:带导航系统的车辆，请参见《导航系统用户手册》。<sup>\*2</sup>:带多媒体系统的车辆，请参见《多媒体用户手册》。
17","16,17","page_footnote,page_number,text"
"持辅助）开关 P.180  
E 电话开关\*1,2  
F 通话开关\*1,2
<sup>\*1</sup>:带导航系统的车辆，请参见《导航系统用户手册》。<sup>\*2</sup>:带多媒体系统的车辆，请参见《多媒体用户手册》。
17
A 行驶模式选择开关 P.221  
B VSC OFF 开关 P.224  
C 停机和起动取消开关 P.211  
D 驻车制动开关 P.148  
冬季注意事项 P.229  
E 制动保持开关 P.151
18
车内
A SRS 空气囊 ..... P.28
B 脚垫 ..... P.22
C 前排座椅 ..... P.108
D 头枕 ..... P.111
E 座椅安全带 ..... P.24
F 控制台箱 ..... P.254
G 车内门锁按钮 ..... P.91
H 杯架 ..... P.253
I 后排座椅 ..... P.109
19
车顶
A 内后视镜 P.115  
B 遮阳板 P.258  
C 梳妆镜 P.258  
卡片夹 P.255  
D 车内灯/个人用灯 P.250  
E 天窗开关\* P.120  
全景天窗开关\* P.123  
F “SOS”按钮 P.51  
G 辅助拉手 P.259  
若装备
20
安全须知","18,19,20,21","page_number,text"
"梳妆镜 P.258  
卡片夹 P.255  
D 车内灯/个人用灯 P.250  
E 天窗开关\* P.120  
全景天窗开关\* P.123  
F “SOS”按钮 P.51  
G 辅助拉手 P.259  
若装备
20
安全须知
1-1. 安全使用须知
驾驶前 ..... 22
安全驾驶 ..... 23
座椅安全带 ..... 24
SRS 空气囊 ..... 28
废气注意事项 ..... 34
1-2. 儿童安全
儿童乘坐信息 ..... 36
儿童保护装置 ..... 36
1-3. 紧急救援
丰田智行互联 ..... 51
1-4. 防盗系统
发动机停机系统 ..... 65
警报 ..... 66
21
安全须知
驾驶前
为确保安全驾驶，驾驶车辆前请遵守下列注意事项。
脚垫
仅可使用专为本车型和年款车辆（与您的车辆相同）设计的脚垫。将其牢固固定在地毯上。
1 将固定钩（卡子）插入脚垫孔。
2 转动各固定钩（卡子）的上部旋钮以将脚垫固定到位。
务必对准 （标记为 ）。
固定钩（卡子）的形状可能与图中所示不同。
警告
请遵守下列注意事项。
否则在驾驶过程中驾驶员脚垫可能会滑动，从而妨碍踏板操作。还可能会意外提高车速或难以停车。这可能引发事故，导致严重伤害甚至死亡。
■安装驾驶员脚垫时
●请勿使用为其他车型或不同车型年款的车辆设计的脚垫，即使是丰田纯正脚垫。","21,22","aside_text,page_number,text"
"遵守下列注意事项。
否则在驾驶过程中驾驶员脚垫可能会滑动，从而妨碍踏板操作。还可能会意外提高车速或难以停车。这可能引发事故，导致严重伤害甚至死亡。
■安装驾驶员脚垫时
●请勿使用为其他车型或不同车型年款的车辆设计的脚垫，即使是丰田纯正脚垫。
●仅可使用专为驾驶员座椅设计的脚垫。
●务必使用随附的固定钩（卡子）牢固安装脚垫。
●请勿重叠使用两个或多个脚垫。
■驾驶前
●检查并确认使用所有随附的固定钩（卡子）将脚垫牢固固定在正确的位置。清洁地板后需特别注意要进行此项检查。
●发动机停止且换档杆置于P 档时，将各踏板完全踩到底以确保脚垫不会妨碍操作踏板。
22
安全驾驶
驾驶前，将座椅和后视镜调节至恰当位置以确保安全驾驶。
正确的驾驶姿势
调节座椅靠背倾角，以便坐直且无需前倾身体即可<sub>操作方向盘。(P.108)</sub>www.carob
调节座椅，以便您可以完全踩下踏板且在握住方向盘时胳膊肘部能够稍微弯曲。(P.108)
锁定头枕，确保其中心与耳朵上部齐平。(P.111)
正确佩戴座椅安全带。 (P.24)
■标准座椅位置
座椅位置
座椅靠背倾角
前排座椅
后排座椅
标准座椅靠背倾角
中央23°外侧25°
<sup>\*</sup>:自最靠前位置的距离
警告
■安全驾驶
请遵守下列注意事项。否则可能导致严重伤害甚至死ook.com","22,23","page_number,text"
"4)
■标准座椅位置
座椅位置
座椅靠背倾角
前排座椅
后排座椅
标准座椅靠背倾角
中央23°外侧25°
<sup>\*</sup>:自最靠前位置的距离
警告
■安全驾驶
请遵守下列注意事项。否则可能导致严重伤害甚至死ook.com
●驾驶时，请勿调节驾驶员座椅的位置。否则可能导致驾驶员失去对车辆的控制。
●请勿在驾驶员或乘员与座椅靠背之间放置靠垫。靠垫不利于保持正确的坐姿，并会降低座椅安全带和头枕的效用。
●请勿在前排座椅下放置任何物品。放置在前排座椅下方的物品可能会夹在座椅导轨间，妨碍座椅锁定到位。这可能导致事故，也可能损坏调节机构。
●在公共道路上行驶时，务必遵守法定限速。
23
安全须知
警告
●长途驾驶时，请定时休息，避免疲劳驾驶。
另外，如果在驾驶过程中感到疲劳或困倦，请勿强迫自己继续驾驶，应立即休息。
●调节座椅位置时应小心，确保移动座椅时不会伤及其他乘员。
●调节座椅位置时，请勿将手放在座椅下方或移动零件附近以免受伤。座椅机构可能会夹住手指或手。
正确使用座椅安全带
驾驶车辆前，应确保所有乘员均已佩戴座椅安全带。
(P.24)
<sub>儿童应使用合适的儿童保护装</sub>www.car置，直至他们的体形长大到适合佩戴车辆座椅安全带。
(P.36)
调节后视镜
适当调节内后视镜和外后视镜以确保可以清晰地看到后方。(P.115, 116)
座椅安全带","23,24","aside_text,page_number,text"
".24)
<sub>儿童应使用合适的儿童保护装</sub>www.car置，直至他们的体形长大到适合佩戴车辆座椅安全带。
(P.36)
调节后视镜
适当调节内后视镜和外后视镜以确保可以清晰地看到后方。(P.115, 116)
座椅安全带
驾驶车辆前，应确保所有乘员均已佩戴座椅安全带。
警告
为降低在紧急制动、紧急转向或发生事故时受伤的风险，请遵守下列注意事项。
否则可能导致严重伤害甚至死亡。
■佩戴座椅安全带
●确保所有乘员均已佩戴座椅安全带。
●务必正确佩戴座椅安全带。
●每条座椅安全带仅限一人使用。请勿多人（包括儿童）共用一条座椅安全带。
●丰田公司建议您让儿童坐在后排座椅上，并务必使用座椅安全带和/或合适的儿童保护装置。
●请勿为了舒适而过度倾斜座椅。因为只有乘员坐直且靠好座椅靠背时，座椅安全带才能发挥最大保护作用。
●请勿将肩部安全带置于手臂下方。
●务必将座椅安全带尽可能低地横跨于髋部。
24
警告
■孕妇
请遵医嘱并正确佩戴座椅安全带。(P.25)
孕妇也应像其他乘员一样，将腰部安全带尽可能低地横跨于髋部 肩部安全带应沿肩部完全斜www.ca向拉伸，并避免安全带触及隆起的腹部。
如果未正确系好座椅安全带，则在紧急制动或发生碰撞时，可能导致孕妇和胎儿受到严重伤害甚至死亡。
■病人
请遵医嘱并正确佩戴座椅安全带。(P.25)
■儿童在车内时
P.45","24,25","page_number,text"
"带应沿肩部完全斜www.ca向拉伸，并避免安全带触及隆起的腹部。
如果未正确系好座椅安全带，则在紧急制动或发生碰撞时，可能导致孕妇和胎儿受到严重伤害甚至死亡。
■病人
请遵医嘱并正确佩戴座椅安全带。(P.25)
■儿童在车内时
P.45
■座椅安全带的损坏和磨损
●请勿让车门夹住安全带、锁片或带扣，否则可能损坏座椅安全带。
●定期检查座椅安全带系统。检查座椅安全带是否存在切口磨损和松动部位。请勿使用已损坏的座椅安全带，应将其更换。已损坏的座椅安全带无法起到保护乘员免受严重伤害甚至死亡的作用。
●确保安全带和锁片已锁定且安全带未扭曲。如果座椅安全带不能正常工作，请立即联系您的丰田汽车经销商。
●如果车辆发生严重事故，即使未出现明显损坏，也应更换座椅总成（包括安全带）。
●请勿擅自安装、拆卸、改装、拆解或弃置座椅安全带。请联系您的丰田汽车经销商进行必要的修理。处理不当可能会导<sup>致错误</sup>工<sup>作</sup>。ook.com
正确使用座椅安全带
拉伸肩部安全带，将其斜跨整个肩部，但不要触及颈部或从肩部滑脱。
腰部安全带应尽可能低地横跨于髋部。
调节座椅靠背的位置。坐直并靠好座椅靠背。
25
安全须知
请勿扭曲座椅安全带。
■儿童使用座椅安全带的方法
车辆上的座椅安全带主要是根据成人体形设计的。","25,26","aside_text,page_number,text"
